,PageRank,HubScore,AuthorityScore,Betweeness,Colony,Day,Role
Ant518,0.0057426412328644575,0.0031565269455380903,0.003156526946274659,0.0010057372965195626,3,17,F
Ant215,0.011292503959858605,0.010057188845318102,0.01005718884579258,0.0044374220886156555,3,17,F
Ant210,0.00508113141059469,0.0033277503220409954,0.003327750322348426,0.002603889736609889,3,17,F
Ant124,0.008979861187043492,0.008969697462308376,0.008969697462338295,0.0048280778342617275,3,17,C
Ant218,0.006151708054515054,0.004037278119642442,0.004037278120096565,0.0037985048854911234,3,17,F
Ant219,0.0071396776268713375,0.008728501961878176,0.00872850196150052,0.002107694292851395,3,17,N
Ant68,0.007830207305081528,0.009885497950365581,0.009885497949949747,0.002031925738059318,3,17,N
Ant60,0.010407608241410227,0.013274564342253546,0.013274564341671671,0.002718400330469463,3,17,N
Ant62,0.00498039441618359,0.005207757980559741,0.0052077579804039745,0.0023291823029101626,3,17,N
Ant65,0.007883413925889565,0.004098771718856497,0.0040987717197979645,0.0007064155654099063,3,17,F
Ant604,0.007344237114076734,0.010035080840408493,0.010035080839694049,0.000856187837175547,3,17,Q
Ant607,0.006413151261998216,0.010160966535392195,0.010160966534624826,0.00026442363844799484,3,17,N
Ant178,0.0066059187438521115,0.007930001941302244,0.007930001940973926,0.002742603269444968,3,17,N
Ant289,0.005244209244874975,0.007720923272638992,0.007720923272059046,0.0002385284798033059,3,17,N
Ant81,0.00692783737498243,0.004984427653578211,0.00498442765404619,0.0028072085738359157,3,17,F
Ant172,0.007751144163857366,0.008719469835305901,0.008719469835109154,0.002859785319999672,3,17,N
Ant176,0.004534417584935954,0.0022465411916172914,0.0022465411919954854,0.0016919671318043796,3,17,F
Ant175,0.006811691051567007,0.008325784430733707,0.008325784430369923,0.0018890394948605385,3,17,N
Ant207,0.00825667381928885,0.004890210001765121,0.004890210002504012,0.0025663981284513556,3,17,F
Ant206,0.007871686426774665,0.008426787165581262,0.008426787165279052,0.0037603012052379553,3,17,N
Ant43,0.007772276088665795,0.010146086781868782,0.010146086781342148,0.001897101462680047,3,17,N
Ant501,0.006042066580149926,0.008816887958476974,0.00881688795793031,0.0005634807594306172,3,17,N
Ant599,0.007635791233908698,0.011333757928437582,0.011333757927663697,0.0012333117962906608,3,17,N
Ant38,0.008950106170940641,0.005875716744182288,0.005875716745107407,0.002277474116701639,3,17,F
Ant638,0.00553318869561167,0.0025921980878372613,0.0025921980883364085,0.0014286762819657724,3,17,F
Ant32,0.0032739000103843684,0.0021366736337117874,0.0021366736337939205,0.0011183661297574441,3,17,F
Ant30,0.008094030362304534,0.01055619608848656,0.01055619608801848,0.002430348273364793,3,17,N
Ant632,0.008578046864147952,0.005431104804414121,0.005431104805132918,0.005353513209099072,3,17,F
Ant534,0.005147203169284038,0.004236166560093896,0.0042361665601761194,0.0027444963303698998,3,17,C
Ant538,0.007443383091607781,0.005453155754178529,0.005453155754787239,0.003646713759965982,3,17,F
Ant109,0.007188737308649548,0.006122816317296319,0.0061228163174270375,0.0031307098517624247,3,17,C
Ant238,0.0051651133890494106,0.0026036137996218664,0.0026036138001652026,0.0008316657521389947,3,17,F
Ant342,0.011073261743106797,0.007453512669281445,0.007453512670229526,0.004556112527543661,3,17,F
Ant105,0.010597154170715543,0.013972077657585496,0.013972077656955609,0.0028611619107876086,3,17,N
Ant102,0.003131359864110166,0.0015001744163640562,0.0015001744166749777,0.0004405616116088091,3,17,F
Ant347,0.0062398883606069305,0.009757561949215678,0.009757561948507886,0.0010324601126288034,3,17,N
Ant186,0.004837244321647206,0.003811861218943227,0.0038118612191465617,0.0020876557780867273,3,17,F
Ant621,0.005829512847442075,0.0038794826696002677,0.0038794826698949065,0.0021998090535291994,3,18,F
Ant118,0.009713605698116315,0.010083849239515627,0.010083849239548554,0.0033859866922795272,3,18,C
Ant229,0.008103818817476436,0.009042314498136344,0.009042314498003868,0.004601991780142294,3,18,N
Ant115,0.013424634557631007,0.01907997427175348,0.01907997427085182,0.004313694317215339,3,18,N
Ant117,0.0063200389806688465,0.005569995963466495,0.0055699959636224755,0.007539148439274417,3,18,F
Ant111,0.0033586715277509446,0.0024722587401259156,0.0024722587401840063,0.0014777354172356087,3,18,C
Ant221,0.0026759047927844607,0.0006030391665867685,0.0006030391668001171,9.936662198349231e-05,3,18,F
Ant112,0.004993936844429154,0.002721239734603055,0.002721239734911541,0.003836303677436645,3,18,F
Ant194,0.007071842884094356,0.006637517551076172,0.006637517551071654,0.004500133306480409,3,18,C
Ant196,0.007318494818527666,0.0036023955094596585,0.003602395510132017,0.0048414263120541,3,18,F
Ant191,0.006672560129471752,0.008288877130281539,0.008288877129910131,0.0018645459189669555,3,18,N
Ant190,0.004816353483463053,0.0050765195236752375,0.005076519523596604,0.0018784328980935528,3,18,C
Ant198,0.007151826593525426,0.0037707925936997285,0.003770792594338653,0.0035403794361023736,3,18,F
Ant492,0.006210732184510768,0.008542374016168256,0.008542374015629045,0.0004886528844634837,3,18,N
Ant324,0.00710376398388315,0.008534733974274445,0.00853473397400652,0.0021607278881409296,3,18,N
Ant329,0.00800876033234413,0.011409407083948558,0.01140940708331585,0.001840882723022793,3,18,N
Ant650,0.004033423481242809,0.0018603108071726941,0.001860310807493478,0.0017365386896675767,3,18,F
