,Colony,Day,Degree Assortativity Coefficient,Average Clustering,Nodes,Edges,Density,Diameter,Betweenness Centrality,Average Degree,Normalized Degree Average
79,2,39,0.09313945621203959,0.707373294754046,58,895,0.5414398064125832,3,0.008491055224267567,30.862068965517242,85.13674197384067
80,2,40,0.09313945621203959,0.707373294754046,58,895,0.5414398064125832,3,0.008491055224267567,30.862068965517242,85.13674197384067
81,2,41,0.02280250574227898,0.7018998940150918,58,930,0.5626134301270418,3,0.007832080200501253,32.06896551724138,88.46611177170037
82,3,01,-0.034964684440607775,0.8969948956082394,160,11139,0.8757075471698114,2,0.0007866610938619536,139.2375,139.2375
83,3,02,-0.025377145671836302,0.8249468065829678,160,9844,0.7738993710691824,2,0.0014310166388026427,123.05,123.05
84,3,03,0.02107019126382207,0.8031982996263027,160,9191,0.722562893081761,2,0.0017559310564445503,114.8875,114.8875
85,3,04,0.005497306370448666,0.7858001894222009,160,9092,0.7147798742138365,2,0.0018051906695326799,113.65,113.65
86,3,05,0.01759806494459325,0.7790824291832612,160,8863,0.6967767295597485,3,0.0019211249104370668,110.7875,110.7875
87,3,06,0.005281526818747221,0.7791818638978527,160,8823,0.6936320754716981,3,0.0019450083592070688,110.2875,110.2875
88,3,07,-0.0075959404455008175,0.7747156911934442,160,8690,0.6831761006289309,3,0.0020057121248308264,108.625,108.625
89,3,08,0.007799096261329995,0.7641268481935566,159,8482,0.6752647082238675,2,0.002068377654625048,106.69182389937107,107.36284165974448
90,3,09,0.0010831612482041426,0.7839017200921207,160,8883,0.6983490566037736,3,0.0019116710452989401,111.0375,111.0375
91,3,10,-0.02084210199336554,0.7869068669145141,159,9046,0.720165591911472,2,0.0017823847648950812,113.78616352201257,114.50179977057869
92,3,11,0.010595968546760344,0.7596661930242725,160,8451,0.6643867924528302,3,0.0021256269405302113,105.6375,105.6375
93,3,12,0.03745052544955242,0.7597248105476003,141,6404,0.6488348530901722,3,0.0025285546638676893,90.83687943262412,103.07730999446709
94,3,13,-0.013452371572850444,0.7681505069382499,141,6477,0.6562310030395136,3,0.0024753449520019248,91.87234042553192,104.25230119209294
95,3,14,-0.011575349276398436,0.7659891243797594,141,6607,0.6694022289766971,2,0.0023784012303834728,93.71631205673759,106.34475127005685
96,3,15,0.022358952093402745,0.7682577290344728,141,6403,0.6487335359675785,3,0.0025336569650055035,90.822695035461,103.06121422463659
97,3,16,0.03124647053177784,0.8067347674160316,141,7025,0.7117527862208713,2,0.0020737209624397753,99.64539007092199,113.07278305920225
98,3,17,0.02755828891554335,0.7888307263872861,141,6731,0.6819655521783181,3,0.0022887465103904724,95.47517730496453,108.34062672903777
99,3,18,0.05045620560349607,0.7843568670575205,141,6609,0.6696048632218845,3,0.0023813168310336526,93.74468085106383,106.37694280971783
100,3,19,0.04991800798054974,0.7765318030323667,141,6417,0.6501519756838906,3,0.002520536762079699,91.02127659574468,103.28655500226347
